u800,101_N_HV
u801,101_P_HV
u802,102_N_HV
u803,102_P_HV
u804,103_N_HV
u805,103_P_HV
u806,104_N_HV
u807,104_P_HV
u808,106_N_HV
u809,106_P_HV
u810,107_N_HV
u811,107_P_HV
u812,108_N_HV
u813,108_P_HV
u814,109_N_HV
u815,109_P_HV
u816,206_N_HV
u817,206_P_HV
u818,207_N_HV
u819,207_P_HV
u820,000
u0,101_P2.5
u1,101_P2.3
u2,101_N2.5
u3,101_N2.3
u4,102_P2.5
u5,102_P2.3
u6,102_N2.5
u7,102_N2.3
u100,103_P2.5
u101,103_P2.3
u102,103_N2.5
u103,103_N2.3
u104,104_P2.5
u105,104_P2.3
u106,104_N2.5
u107,104_N2.3
u200,106_P2.5
u201,106_P2.3
u202,106_N2.5
u203,106_N2.3
u204,107_P2.5
u205,107_P2.3
u206,107_N2.5
u207,107_N2.3
u300,108_P2.5
u301,108_P2.3
u302,108_N2.5
u303,108_N2.3
u304,207_P2.5
u305,207_P2.3
u306,207_N2.5
u307,207_N2.3
u400,206_P2.5
u401,206_P2.3
u402,206_N2.5
u403,206_N2.3
u404,109_P2.5
u405,109_P2.3
u406,109_N2.5
u407,109_N2.3
u500,GBT_1
u501,GBT_2
u502,GBT_3
u503,GBT_4
u504,RP_1
u505,RP_2
u506,RP_3
u507,RP_4
u600,000
u601,000
u602,000
u603,000
u604,000
u605,000
u606,000
u607,000
u700,000
u701,000
u702,000
u703,000
u704,000
u705,000
u706,000
u707,000
